ordem	conjunto	post	hashtag	legenda
011	arte	48_caber_nao_e_encolher	#lugarQueFicouPequeno	Um grupo de amigos, um emprego, até uma família podem parar de acompanhar o ritmo de quem você está virando, sem que ninguém tenha feito nada de errado no processo. ¶ Ajustar-se tanto a um lugar a ponto de ficar cada vez menor para continuar cabendo ali costuma ser confundido com pertencimento, quando na prática é só um jeito lento de desaparecer aos poucos. O desconforto que aparece depois costuma ser apenas sinal de crescimento acontecendo num espaço que não foi feito para esse tamanho novo. ¶ Sair de um lugar que ficou pequeno também pode ser, ao mesmo tempo, um jeito de continuar sendo você.
012	arte	18_em_que_momento	#cansacoDeSeAjustar	Passar a vida ajustando o volume de quem se é, mais quieto numa casa, mais engraçado em outra, cansa de um jeito difícil de explicar. ¶ Esse ajuste constante não dói de uma vez, dói aos poucos, na quantidade de vezes que você guarda uma opinião ou finge gostar de algo só para caber melhor numa mesa. Em algum momento fica difícil lembrar qual dessas versões era a original. ¶ Parar de se adaptar o tempo todo costuma abrir espaço para descobrir qual delas você realmente prefere ser.
013	arte	97_um_longo_passado_pela_frente	#soltarACordaDaBriga	Escolher sempre o mesmo tipo de pessoa, terminar do mesmo jeito, se assustar com as mesmas coisas, tudo isso pode parecer destino, mas costuma ser repetição sem edição nenhuma. ¶ Tem gente que chama isso de intuição, um radar apurado para reconhecer quem vai machucar, quando na verdade é uma marca antiga guiando a escolha de novo, disfarçada de sabedoria adquirida. A diferença entre repetir e aprender está em parar o suficiente para perceber o padrão antes de entrar nele mais uma vez. ¶ Às vezes o jeito de vencer uma disputa é simplesmente soltar a corda e sair dela.
014	arte	54_desobediencia	#pedirLicencaParaExistir	Muita mulher aprendeu cedo a pedir licença até para existir num volume mais alto, falar mais grosso, discordar em público, ocupar a cadeira central da mesa sem se desculpar depois. ¶ Ninguém nasce pedindo permissão, isso se ensina, geralmente através de pequenos gestos de reprovação repetidos por anos até virarem regra interna. Escolher a si mesma nesse contexto vira quase um ato de desobediência, porque contraria um roteiro combinado sem consultar ninguém. ¶ Trocar aprovação por autenticidade custa caro no começo, mas o preço de continuar pedindo licença é mais alto e demorado.
015	arte	07_nao_e_e	#atualizarODicionario	Amor, pressa, arrependimento, confiança são palavras usadas o dia inteiro sem que ninguém confira se a definição ainda serve para o que realmente se sente. ¶ Redefinir essas palavras dói um pouco, porque geralmente exige admitir que uma relação inteira foi sustentada em cima de um significado errado, que aquela pressa toda era medo com roupa de ocupação. Mudar o sentido de uma palavra muda também a leitura de anos inteiros de comportamento. ¶ Vale parar de vez em quando para conferir se o dicionário pessoal ainda está atualizado.
016	arte	29_o_tempo_ensina_a_confiar	#vernizInicialCaindo	Uma pressa específica costuma aparecer bem no início de qualquer vínculo novo, a vontade de já saber se vai dar certo, de pular direto para a parte da certeza e ignorar a parte de simplesmente observar. ¶ Confiança não se decreta, se constrói olhando o que a pessoa faz quando ninguém está cobrando nada dela, ao longo de tempo suficiente para o verniz inicial cair. Quem está de fato interessado usa esse tempo para se mostrar melhor a cada mês, enquanto quem não está deixa a relação envelhecer parada, sem esforço nenhum. ¶ Dar tempo ao tempo, nesse caso, é uma forma bem ativa de observar quem está mesmo ali.
017	arte	21_a_vaga_que_voce_espera	#portaQueFicaEntreaberta	Ficar de prontidão para quando a outra pessoa tiver um tempinho é um trabalho não remunerado que muita gente aceita sem perceber que aceitou. ¶ Responder rápido, estar sempre disponível, se contentar com migalhas de atenção esparsas ao longo do mês, tudo isso pode parecer proximidade, mas costuma ser a espera disfarçada de vínculo. Uma porta que fica entreaberta o tempo todo machuca mais do que uma porta fechada, porque mantém viva a esperança de que hoje seja o dia em que ela finalmente se abre de vez. ¶ Ser útil para alguém raramente garante um lugar de prioridade na vida dessa pessoa.
018	arte	06_carga_pesada	#pesoQueCarregaEmSilencio	Aguentar em silêncio virou, para muita gente, sinônimo de estar bem, o que raramente é verdade quando se olha de perto. ¶ Nem tudo que pesa precisa ficar nas suas costas para sempre, principalmente quando parte desse peso é a responsabilidade de agradar gente que nunca perguntou se você estava cansado. Há uma diferença entre força e hábito de aguentar calado, e essa diferença some quando ninguém para para respirar de verdade. ¶ Parar de vez em quando não atrasa nada, só garante que você chegue inteiro no resto do caminho.
019	arte	111_deixe_cicatrizar	#necessidadeQueNuncaFoiOuvida	Todo processo de cicatrização tem uma ordem que não aceita atalho, primeiro dói, depois esfria, só depois fecha de fato, e tentar pular etapa costuma reabrir o mesmo corte meses depois, num momento pior. ¶ Muita mulher cresceu ouvindo que era complicada demais, exigente demais, chata demais, quando na real só tinha necessidades que nunca foram atendidas por perto e precisou nomear isso sozinha, sem manual. O incômodo que empurra para fora de um lugar que já não serve costuma ser desconfortável na hora, mas funciona quase como um aviso de saúde. ¶ Sair de onde não se cabe mais raramente é elegante, mas costuma ser necessário.
020	arte	08_escolher_e_metodo	#escolherAVontadePropria	Escolher enxergar o lado que ainda dá para trabalhar numa situação difícil tem pouco a ver com fingir que está tudo bem, ainda que muita gente confunda as duas coisas na hora de julgar quem tenta seguir em frente. ¶ O hábito de se colocar em último lugar na própria lista de prioridades costuma vir de longe, e desmontar isso pede repetição diária, escolher a própria vontade primeiro numa manhã, depois na seguinte, até virar padrão. Cercar-se de gente que também escolhe você todos os dias facilita bastante esse processo. ¶ Quanto mais você confia nas próprias escolhas, menos precisa validar cada uma delas com os outros.
021	arte	73_o_que_nunca_foi_seu	#lutoSemDataCerta	Um tipo específico de luto pesa mais sobre aceitar que algo nunca existiu como se imaginava do que sobre perder algo concreto, e por isso dói sem nenhuma data marcada para lembrar. ¶ Alguns vínculos terminam oficialmente, mas continuam voltando disfarçados, numa música, num cheiro parecido, numa pessoa nova que puxa a mesma sensação antiga sem querer. Tem também uma perda que raramente entra na conta, perceber quanto tempo e energia você deixou de receber enquanto estava ocupado tentando manter aquilo vivo. ¶ Fechar essa conta exige admitir a fantasia inteira, incluindo a parte que nunca foi real.
022	arte	51_nada_e_mais_barulhento	#atosMaisAltoQuePalavras	Promessa custa pouco, sai fácil numa conversa boa, numa reconciliação emocionada, numa mensagem de madrugada cheia de intenção. O trabalho de verdade aparece depois, na repetição chata do dia a dia, quando ninguém está prestando atenção especial. ¶ Tem gente que fala bonito sobre mudança e continua fazendo exatamente igual seis meses depois, e o corpo geralmente sabe disso antes da razão admitir, porque reage mais aos atos repetidos do que às palavras usadas para descrever intenção. Julgar alguém pelo que cumpre ao longo do tempo poupa bastante decepção acumulada. ¶ Dar mais peso ao comportamento repetido do que ao discurso isolado sobre intenção costuma ser uma forma prática de se cuidar.
023	arte	22_quem_vai_embora_te_devolve	#medoDeQuemJaNaoEstava	Um medo específico não faz muito sentido lógico e ainda assim aparece, o medo de perder alguém que, na prática, nunca esteve inteiramente presente, que já ia embora aos poucos, em doses pequenas, bem antes de ir embora de vez. ¶ Quando essa pessoa finalmente sai, o que sobra costuma ser mais espaço do que falta, porque a atenção gasta tentando prender alguém volta para quem sempre esperou de fora, você mesmo. Devolver na mesma medida o que se recebe evita anos guardando um lugar para quem nunca chegou a ocupá-lo de verdade. ¶ Fechar essa conta sem drama nem rancor guardado costuma bastar para seguir em frente bem mais leve.
024	arte	98_o_que_voce_pensa_que_eu_sou	#fragilidadeQueNaoAvisa	Toda vez que alguém decide, sem perguntar, que tipo de pessoa você é, essa definição costuma revelar mais sobre quem julgou do que sobre quem foi julgado, como um espelho posicionado do jeito errado. ¶ Isso fica claro quando duas pessoas descrevem a mesma pessoa de formas completamente opostas, uma viu frieza onde a outra viu proteção, uma viu arrogância onde a outra viu cansaço acumulado. Tentar se explicar infinitamente para corrigir cada leitura equivocada é uma tarefa sem fim, porque a leitura nasce de quem olha, não só de quem é olhado. ¶ Uma fragilidade real muitas vezes não aparenta fragilidade nenhuma até o momento em que finalmente estoura.
025	arte	05_viro_bem_sozinha	#companhiaQueBastaSozinha	Convidar alguém só para preencher uma agenda vazia no sábado à noite é mais comum do que se assume, não porque aquela pessoa específica faça tanta diferença, mas porque ficar em casa sozinho ainda soa como fracasso social para muita gente. ¶ A confusão comum é tratar solidão e carência como sinônimos, quando são coisas bem diferentes, dá para estar sozinho e inteiro, e dá para estar cercado de gente e faminto por atenção o tempo todo. Quem já aprendeu a organizar a própria companhia raramente aceita qualquer presença só para preencher espaço. ¶ Estar junto só compensa quando soma alguma coisa que estar sozinho já não oferecia antes.
026	arte	14_decisao_nao_tomada	#decisaoQueFicaRondando	Uma decisão pode ficar anos rondando a cabeça sem nunca ser tomada de fato, porque parece mais seguro viver na dúvida do que encarar qualquer um dos dois resultados possíveis. ¶ Essa espera tem custo, ainda que não venha numa fatura clara, aparece em noites maldormidas, numa irritação difusa sem endereço certo, num cansaço que não combina com o tamanho real do problema. Quando alguém se afasta depois de você impor um limite necessário, isso também conta como resposta, mesmo que dolorosa. ¶ O desconforto de decidir costuma durar bem menos tempo do que o desconforto de continuar adiando.
027	arte	69_conforto_no_caos	#calmariaQueIncomoda	Uma relação calma pode causar uma inquietação estranha em quem cresceu associando amor a drama, a reconciliações intensas depois de brigas feias, a nunca saber ao certo se vai ficar tudo bem. ¶ Quando finalmente aparece alguém estável, sem jogo, sem climão, é comum sentir falta de alguma coisa, uma adrenalina qualquer, e essa falta acaba interpretada como sinal de que falta química, quando na verdade é só o corpo estranhando um roteiro diferente do que aprendeu como normal ainda na infância. ¶ Quando cada relação lembra a anterior no formato do sofrimento, isso costuma apontar para um padrão se repetindo silenciosamente, mais do que para uma sequência de azar.
028	arte	23_se_adaptar_demais	#apagadorLentoDoEu	Em algumas relações, o amor é medido pela quantidade de coisas que uma pessoa muda em si mesma para caber no gosto da outra, o horário, o jeito de se vestir, até o volume da própria opinião. ¶ Esse ajuste começa pequeno, quase imperceptível, e avança até ficar difícil lembrar quais preferências eram originalmente suas e quais foram herdadas de tanto ceder. Adaptação em excesso funciona como um apagador lento, e quem está dentro raramente percebe o próprio desaparecimento até alguém de fora comentar como mudou. ¶ Reorganizar a vida em torno de si mesmo, e não das expectativas alheias, costuma ser o primeiro passo para reverter isso.
029	arte	04_pequeno_dicionario	#trocarAsDefinicoes	Muita gente entra na terapia esperando resposta pronta e sai, meses depois, com uma coisa mais simples e mais difícil ao mesmo tempo, um vocabulário novo para nomear o que sempre sentiu sem saber descrever direito. ¶ Descanso, por exemplo, deixa de ser prêmio por bom comportamento e vira necessidade básica, igual comer. Coragem para de significar ausência de medo e passa a significar agir apesar dele. Esses ajustes de significado parecem pequenos no papel, mas mudam decisões inteiras. ¶ Trocar as definições antigas por outras mais precisas é, de certa forma, parte do próprio tratamento.
030	arte	02_atravessar	#dorNaBagagem	Dar a volta em determinado assunto, mudar de cidade, de emprego, até de círculo de amizades, é uma estratégia comum para tentar deixar um problema para trás só porque o cenário mudou. ¶ A dor que não foi encarada costuma viajar junto na bagagem, reaparece disfarçada de outro assunto, outra pessoa, outro contexto, até que alguém finalmente pare tempo suficiente para olhar de frente o que estava sendo evitado o tempo todo. Contornar cansa mais do que atravessar, só que esse cansaço é mais fácil de não perceber. ¶ Encarar direto costuma ser mais rápido do que qualquer rota alternativa inventada para adiar.
031	arte	19_dar_conta_de_tudo	#reguaQueMedeTudo	Medir o próprio valor pela quantidade de coisas resolvidas num único dia, planilha cheia, mensagens todas respondidas, casa impecável, corpo em dia, é um hábito mais comum do que se imagina. ¶ Esse jeito de funcionar costuma vir de longe, de um tempo em que ser útil parecia a única forma segura de merecer espaço. O problema aparece quando parar vira ameaça, porque uma tarde livre é lida como preguiça, e o corpo cansado é ignorado até dar um sinal mais sério. ¶ Ninguém dá conta de tudo o tempo todo, e recusar essa régua de vez em quando também é uma forma legítima de cuidar de si.
032	arte	81_o_que_julgamos_possivel	#cardapioMaiorPossivel	Muita coisa parece impossível não porque seja impossível de fato, mas porque ninguém na família tentou fazer diferente antes de você. ¶ Crescer vendo só um jeito de lidar com dinheiro, com conflito, com afeto, limita o cardápio de opções sem que ninguém perceba que existia um cardápio maior possível. Tradição de família funciona mais como um repertório específico, repetido por falta de outro à mão, do que como qualquer verdade definitiva sobre a vida. ¶ Nem todo padrão herdado precisa ser mantido só porque atravessou gerações antes de chegar até você.
033	arte	13_encaixe_neurotico	#encaixeSemEscolha	Tem gente que fica junto por puro hábito e chama isso de amor porque a rotina engana bem. Encontram-se todo dia, dividem tarefas, riem das mesmas piadas, e isso já parece prova suficiente. Só que encaixar não é a mesma coisa que escolher, e dá pra passar anos numa relação no automático sem nunca ter sido desejo de verdade. ¶ A culpa também ajuda a sustentar isso. Sair parece um ato de crueldade quando na cabeça de alguém ainda pesa o tanto que o outro precisa, o tanto que dói recomeçar. Fica-se então pelo medo de causar dano, não pela vontade de continuar ali.
034	arte	47_a_mais_dificil_fui_eu_mesma	#casaQueSouEu	Tem gente fácil de convencer, de agradar, de trazer para perto. O difícil sempre foi virar para dentro e sustentar o próprio olhar sem fugir dele. Anos se vão tentando ser interessante para os outros antes de perguntar se a própria companhia é suportável. ¶ Conhecer a si mesmo funciona mais como manutenção do que como exercício de vaidade. É abrir os cômodos que ficaram fechados por conveniência e limpar o que dá trabalho olhar. Uma casa não se torna acolhedora sozinha, alguém precisa morar nela de verdade, prestar atenção nas rachaduras e decidir ficar mesmo assim.
035	arte	39_insisti_porque_gostei_de_voce	#gostarMaisDeMim	Ficar tem uma lógica simples enquanto o afeto é maior que o desconforto. O problema começa quando esse desconforto vira rotina e a pessoa percebe que está se editando o tempo todo só para caber ali. Fala mais baixo, ri menos, guarda opinião, e chama isso de paciência. ¶ Sair, nesse caso, costuma ser o primeiro gesto de cuidado consigo depois de muito tempo cuidando só do outro, mesmo que de fora pareça desistência. Existe um limite entre amar alguém e amar mais quem você se torna do lado dessa pessoa, e é esse segundo amor que decide se vale a pena ficar.
036	arte	01_pessoas_mudam	#limiteDoAlcance	Passa-se um bom tempo tentando adivinhar quem alguém vai se tornar, montando na cabeça uma versão melhorada da pessoa que está na sua frente. Aí o tempo mostra que ninguém está em obra permanente para agradar as expectativas de quem observa de fora, e a decepção que vem depois é sempre proporcional ao tamanho do que se inventou. ¶ Também não dá para forçar alguém a te escolher com mais frequência do que essa pessoa escolhe. O que resta é decidir, caso a caso, o quanto de cuidado ainda faz sentido oferecer, e até onde deixar que cheguem perto.
037	arte	74_insistir_onde_nao_te_veem	#casaInteiraOuNada	Tem relação que se sustenta na espera de ser enxergado por alguém que só mostra um cômodo da própria vida, sempre a mesma sala, nunca a casa inteira. E a pessoa vai se acostumando a viver desse pouco, achando que insistência é prova de amor, quando às vezes é só medo de ficar sem nada. ¶ Sarar antes de seguir importa porque toda ferida aberta acaba descontando em quem está por perto, mesmo quem nunca fez por onde. Não é justo cobrar de alguém novo a conta que ficou pendente com quem já foi embora.
038	arte	17_autoabandono	#abandonoDeSiMesmo	Tem um jeito de amar que vai cortando pedaço por pedaço de quem você era antes, sempre em nome da paz, sempre por um bem maior que nunca chega. Compreender demais o outro também entra nessa conta, porque tem gente que usa a própria capacidade de entender para justificar tudo que deveria incomodar. ¶ Chega uma hora em que o corpo cobra essa ausência de si mesmo. A saída geralmente começa em parar de se ausentar da própria vida para caber melhor na vida de alguém, e isso não depende de o outro mudar primeiro.
039	arte	110_segurando_uma_ancora	#certezaQuePesa	Tem gente extremamente competente para explicar o mundo e completamente perdida quando o assunto é a própria vida. Sabe argumentar qualquer teoria, prever qualquer cenário, e trava na frente do espelho porque ali a certeza não ajuda. ¶ Isso costuma acontecer com quem nunca aprendeu a conviver com a dúvida sem se desesperar. Toda certeza vira uma âncora pesada demais para carregar, e por mais firme que ela pareça, ainda assim atrapalha o passo de quem só queria seguir andando.
040	arte	36_ninho_nunca_gaiola	#espacoParaExistir	Tem casal que mede o tamanho do amor pela quantidade de perguntas que faz, pela vigilância disfarçada de interesse, pelo tanto que sabe da agenda do outro. E confunde isso com cuidado, quando às vezes é só controle com roupa de zelo. ¶ Amar de verdade costuma parecer menos ocupado do que isso. É deixar que a outra pessoa tenha vida própria fora da relação, opinião que discorda, tempo que não presta contas, e ainda assim continuar escolhendo estar perto. Sobra espaço para respirar, sobra confiança para não precisar checar.
041	arte	34_a_devida_desimportancia	#desimportanciaLeve	Boa parte do desgaste do dia vem de levar para o lado pessoal coisas que não têm dono. O trânsito não é contra você, o silêncio de alguém não é sobre você, o mau humor do colega também não pertence a você. Mesmo assim a cabeça insiste em se colocar no centro de qualquer cena. ¶ Olhar para os outros com mais calma costuma render mais do que julgar rápido. Aquilo que incomoda tanto numa pessoa geralmente aponta para um traço que você também carrega e prefere não encarar de perto. Dá menos trabalho corrigir o que está ao seu alcance do que revisar a vida alheia.
042	arte	59_desprecise	#acessoNegado	Tem vínculo que só aparece quando está precisando de alguma coisa. Some nas fases boas, some quando dá tudo certo, e volta correndo assim que a vida aperta de novo, como se fosse natural contar com alguém que nunca contou de verdade com você. ¶ Aceitar a desculpa não obriga a devolver o mesmo acesso de antes. Dá para reconhecer o esforço de quem pede perdão e ainda assim manter a porta só entreaberta, sem culpa por preservar o que sobrou de paciência depois de tanta vez sendo procurado só por conveniência.
043	arte	24_o_quinto_dia_util	#coragemDeFrustrar	Cresce-se ouvindo que boa educação é nunca incomodar ninguém, e isso rende gente adulta que sente culpa até de discordar em voz alta. O corpo aguenta um tempo fazendo esse malabarismo de agradar todo mundo, depois cobra a conta em forma de cansaço que não tem explicação médica. ¶ Dizer não sem se explicar longamente costuma bastar. O limite não pede aprovação de ninguém para existir, só pede a coragem de sustentar o incômodo que vem logo depois de pronunciado, e a liberdade de fato só começa quando frustrar alguém deixa de ser a pior coisa do mundo.
044	arte	15_chao_da_infancia	#pazQueAssusta	Tem gente que sente estranheza diante de uma relação calma, sem gritos nem climas pesados, como se aquilo fosse suspeito demais para ser real. É que o corpo aprendeu cedo a reconhecer amor pela intensidade do caos, e paz vira sinônimo de desconfiança em vez de sinônimo de descanso. ¶ Desconfiar dessa desconfiança costuma ajudar, porque familiaridade é só um hábito antigo do corpo, não uma garantia de qualidade. A criança que você foi continua na plateia torcendo para que dessa vez você escolha ficar onde é tranquilo, mesmo sem o drama que ela aprendeu a chamar de amor.
045	arte	93_nunca_o_que_o_outro_escutou	#oQueOOutroOuviu	Uma mesma frase sai da boca de um jeito e chega no outro de um jeito completamente diferente, filtrada por tudo que essa pessoa já viveu antes de te conhecer. Dá para escolher cada palavra com cuidado e ainda assim ser mal compreendido, porque quem escuta também está traduzindo, não só recebendo. ¶ Isso não anula a responsabilidade de falar com clareza, mas ajuda a aliviar a culpa quando o recado não chega como planejado. Cada pessoa enxerga a partir de onde está parada, e ninguém consegue ocupar dois lugares ao mesmo tempo para conferir a cena inteira.
046	arte	37_bem_vindo_ou_necessario	#utilNaoEAmada	Tem um teste simples e pouco confortável para medir o tamanho real de um vínculo. Basta parar de fazer o que sempre fez e ver quem continua por perto. Tem gente que só ficava porque você resolvia, cobria, adiantava, e sem essa função sobra pouco motivo para a companhia continuar. ¶ Isso costuma doer porque muita gente troca utilidade por afeto sem perceber, indo além do que aguenta na esperança de ser amado por isso. Ser procurado o tempo todo diz mais sobre utilidade do que sobre afeto, e vale a pena separar as duas coisas antes de se sentir amado por engano.
047	arte	03_virar_outra	#angustiaAntesDoAlivio	Muita mudança começa não porque a pessoa quis, mas porque a vida parou de dar outra opção. Vem um aperto, uma perda, um limite que estourou, e de repente é preciso deixar de ser quem se era só para continuar de pé. ¶ O estranho é que essa transformação costuma doer mais do que alivia no começo, porque hábito velho é território conhecido mesmo quando machuca. Muda-se a pessoa antes de conseguir mudar a situação, e só depois, olhando para trás, é que dá para perguntar se valia a pena ter continuado apostando em alguém que nunca ia mesmo mudar.
048	arte	45_tempestades_que_criamos	#tempestadeInventada	Tem gente que passa o fim de semana inteiro ensaiando uma briga que ainda nem aconteceu, imaginando toda fala do outro lado e já respondendo mentalmente com raiva de um crime que só existe na cabeça. Gasta-se energia real numa tempestade inteiramente inventada. ¶ Enquanto isso, o momento que estava realmente acontecendo passa batido, porque toda atenção foi consumida por um medo do que talvez nem chegue a existir. Tentar controlar o incontrolável costuma custar justamente aquilo que já estava garantido e disponível para ser vivido.
049	arte	10_panorama_do_ciclo	#raizIntacta	Repetir o mesmo erro de relação em relação incomoda, mas costuma carregar uma informação valiosa, porque mostra com precisão o ponto exato em que alguém parou de crescer numa área da vida. Isso pesa menos como azar e mais como um padrão esperando ser reconhecido. ¶ Dá para experimentar caminhos novos sem precisar romper tudo que já dava certo antes. Uma raiz que continua firme aguenta bem a distância e ainda floresce de novo depois, porque nenhum recomeço de verdade exige apagar tudo que veio antes, só ajustar a direção.
050	arte	27_o_mesmo_ambiente	#distanciaComoCuidado	Tem gente que tenta se recuperar de um esgotamento emocional sem mudar nada ao redor, voltando todo dia para o mesmo lugar, as mesmas pessoas, o mesmo tipo de exigência que adoeceu antes. É pedir para o corpo se curar dentro da própria causa do problema. ¶ Às vezes cuidar de si é simplesmente sair de cena por um tempo, mesmo que isso pareça frieza para quem fica. Manter distância de certos ambientes costuma ser a forma mais honesta de parar de alimentar aquilo que estava adoecendo todo mundo envolvido.
051	arte	16_medo_de_perder	#medoDosDoisLados	Tem gente que não aceita um convite bom, não topa uma proposta melhor, não muda de cidade nem de emprego só porque prefere o risco conhecido ao ganho incerto. O medo de perder o pouco impede de sequer tentar o muito. ¶ O curioso é que esse mesmo medo que evita fracasso também bloqueia a vitória, porque os dois exigem o mesmo tipo de exposição. Fica-se então numa espécie de meio-termo seguro, sem perder muito mas também sem ganhar quase nada, gastando o presente inteiro vigiando um futuro que talvez nunca chegue a doer.
001	tweet	POST_001	#sentidosOpostos	Desgaste é aquela sensação de ter gastado energia numa conversa que nunca ia sair do lugar, porque as duas pessoas falavam línguas diferentes com as mesmas palavras. Uma tentava argumentar, insistir, provar, enquanto a outra já tinha decidido não se mover daquele ponto de vista. ¶ Tem um alívio específico em parar de tentar isso, mais parecido com reconhecer que duas pessoas podem andar lado a lado e ainda seguir em sentidos opostos do que com indiferença. Forçar entendimento onde não há disposição só consome o fôlego que podia ir para outro lugar.
002	tweet	POST_002	#escutaDevagar	Tem um tipo de atenção que substitui presença por checklist. Pergunta como foi o dia, recebe um foi bom e considera a conversa cumprida, sem espaço para o relato inteiro, para o detalhe torto que ia explicar tudo. Escutar de verdade dá mais trabalho que perguntar por obrigação. ¶ O mesmo vale para dentro de casa. Dá para malhar, comer direito, tomar toda vitamina do mundo e ainda assim ignorar o que se passa por dentro, porque saúde também é essa escuta mais lenta, a que presta atenção no cansaço que o corpo não explica sozinho.
